施設名,フリガナ,住所,電話番号,メールアドレス,geo3x3
越前市ＡＷ－Ｉスポーツアリーナ（武生中央公園総合体育館）,エチゼンシＡＷ－Ｉスポーツアリーナ(タケフチュウオウコウエンソウゴウタイイクカン),越前市高瀬二丁目８－２３ ,778226395,-,E913849873265916
武道館,ブドウカン,越前市中央一丁目８－１５,778234874,-,E913849873375822
みどりと自然の村,ミドリトシゼンノムラ,越前市安養寺町５－３,778281119,midorinomura@echizen-shirayama.com,E913849776324942
今立テニスコート,イマダテテニスコート,越前市山室町第５号１番地 ,,-,E913873322112427
今立体育センター,イマダテタイイクセンター,越前市岩本町第１号９番地 ,778431587,-,E913849976391596
今立中央公園多目的広場,イマダテチュウオウコウエンタモクテキヒロバ,越前市野岡町（南越中学校隣）,778421870,-,E913873322115765
池ノ上森林スポーツ林道,イケノガミシンリンスポーツリンドウ,越前市池ノ上町 ,778223008,nourinsebi@city.echizen.lg.jp,E913849841138218
家久スポーツ公園のスポーツ施設,イエヒサスポーツコウエンノスポーツシセツ,越前市家久町105-1,778237986,iehisa@zett.co.jp,E913849888551573
武生中央公園のスポーツ施設,タケフチュウオウコウエンノスポーツシセツ,越前市高瀬二丁目 ,778236222,-,E913849873334799
武生東運動公園のスポーツ施設,タケフヒガシウンドウコウエンノスポーツシセツ,越前市宮谷町35-10,778243712,-,E913849947594322
丹南総合公園のスポーツ施設,タンナンソウゴウコウエンノスポーツシセツ,越前市余田町５０－４－１,778426780,tannan.sk@bz04.plala.or.jp,E913873213513234
越前市弓道場,エチゼンシキュウドウジョウ,越前市妙法寺町36-2-1 ,778227463,sport@city.echizen.lg.jp,E913849854752668
瓜生水と緑公園体育館,ウリュウミズトミドリコウエンタイイクカン,越前市瓜生町１９－７－１,778243712,-,E913873223239371
武生特殊鋼材ドリームサッカー場（越前市サッカー場）,タケフトクシュコウザイドリームサッカージョウ(エチゼンシサッカージョウ),越前市瓜生町６－１６－２,778227463,sport@city.echizen.lg.jp,E913873223616464
北新庄体育館,キタシンジョウタイイクカン,越前市北町54-25,778234604,-,E913849896593658
北日野体育館,キタヒノタイイクカン,越前市矢放町21-11,778234603,-,E913849867123995
大虫体育館,オオムシタイイクカン,越前市丹生郷町13-20-1,778233508,-,E913849872779749
北日野小学校グラウンドナイター,キタヒノショウガッコウグラウンドナイター,福井県越前市矢放町21-11 ,778234603,-,E913849867123995
越前市武生駅自転車置場,エチゼンシタケフエキジテンシャオキバ,福井県越前市府中一丁目１番１号,778223081,seikatu@city.echizen.lg.jp,E913849882467957
越前市王子保駅自転車置場,エチゼンシオウシオエキジテンシャオキバ,福井県越前市四郎丸町第５４号６番地の４,778223081,seikatu@city.echizen.lg.jp,E913849827645279
越前市武生新駅自転車置場,エチゼンシタケフシンエキジテンシャオキバ,福井県越前市万代町７番２５号,778223081,seikatu@city.echizen.lg.jp,E913849882766418
越前市武生駅東自転車置場,エチゼンシタケフエキヒガシジテンシャオキバ,福井県越前市錦町９－５－１,778223081,seikatu@city.echizen.lg.jp,E913849882466981
越前市斎場,エチゼンシサイジョウ,越前市春日野町第１０５号１１番地,778233960,-,E913849814999526
越前市エコビレッジ交流センター,エチゼンシエコビレッジコウリュウセンター,越前市湯谷町２５－２５－２,778281123,ecovilg@tk.ttn.ne.jp,E913849725751447
越前市茶臼山ふるさと公園,エチゼンシチャウスヤマフルサトコウエン,越前市沢町地内,778225342,-,E913849849441994
市民プラザたけふ,シミンプラザタケフ,越前市府中一丁目１１番２号,778258800,-,E913849882494589
市民プラザたけふ「福祉健康センター」,シミンプラザタケフ「フクシケンコウセンター」,越前市府中一丁目１１番２号,778258800,-,E913849882494589
コミュニティーセンター柳荘,コミュニティーセンターリュウソウ,越前市家久町105-10-1 ,778233436,yanagisou@gh.ttn.ne.jp,E913849888515944
しきぶ温泉『湯楽里』,シキブオンセン『ユラリ』,福井県越前市白崎町68-8,778257800,yurari@yu-iwashita.jp,E913849818246839
越前市児童発達支援センターなないろ,エチゼンシジドウハッタツシエンセンターナナイロ,越前市府中一丁目11－2,778223628,jidou@city.echizen.lg.jp,E913849882494589
越前市社会福祉センター,エチゼンシシャカイフクシセンター,越前市杉尾町1-27-1,778438888,-,E913849988431674
市民プラザたけふ,シミンプラザタケフ,越前市府中一丁目１１番２号,778258800,-,E913849882494589
武生西幼稚園,タケフニシヨウチエン,福井県越前市中央二丁目2-13,778220566,nishi-yo@city.echizen.lg.jp,E913849873661262
吉野幼稚園,ヨシノヨウチエン,福井県越前市本保町19-9-1,778225541,yoshino-yo@city.echizen.lg.jp,E913873213335136
国高幼稚園,クニタカヨウチエン,福井県越前市国高二丁目319-3,778224555,kunitaka-yo@city.echizen.lg.jp,E913849894447226
坂口幼稚園,サカグチヨウチエン,福井県越前市湯谷24-25,778281008,sakaguchi-yo@city.echizen.lg.jp,E913849725721419
王子保幼稚園,オウシオヨウチエン,福井県越前市今宿町5-14,778227710,oshio-yo@city.echizen.lg.jp,E913849827639947
武生東小学校,タケフヒガシショウガッコウ,福井県越前市国府２丁目９−１２,-,takefuhigashi_el＠city.echizen.lg.jp,E913849884336918
武生西小学校,タケフニシショウガッコウ,越前市中央２丁目２－１３,778220408,-,E913849873661151
武生南小学校,タケフミナミショウガッコウ,福井県越前市武生柳町１３−２０,-,takefuminami_el@city.echizen.lg.jp,E913849857568841
神山小学校,カミヤマショウガッコウ,福井県越前市広瀬町１０２−４３,778221104,kamiyama_el@city.echizen.lg.jp,E913849844581268
吉野小学校,ヨシノショウガッコウ,福井県越前市本保町１７－１,778220192,yoshino_el@city.echizen.lg.jp,E913849879988712
国高小学校,クニタカショウガッコウ,福井県越前市国高１丁目１５−５,778221045,-,E913849886664366
大虫小学校,オオムシショウガッコウ,福井県越前市高森町１４−１５,778221109,omushi_el@city.echizen.lg.jp,E913849872751751
坂口小学校,サカグチショウガッコウ,福井県越前市湯谷町２４−２５ ,-,-,E913849725721411
王子保小学校,オウシオショウガッコウ,福井県越前市今宿町５−１４,778221293,oshio_el@city.echizen.lg.jp,E913849827639529
北日野小学校,キタヒノショウガッコウ,福井県越前市小野谷町２−２,778221095,kitahino_el@city.echizen.lg.jp,E913849867221384
北新庄小学校,キタシンジョウショウガッコウ,福井県越前市北町47-6,778221040,kitashinjo_el@city.echizen.lg.jp,E913849896832442
味真野小学校,アジマノショウガッコウ,福井県越前市池泉町９−１ ,778271323,-,E913849949143345
白山小学校,シラヤマショウガッコウ,福井県越前市都辺町２４－２ ,778281002,shirayama_el@city.echizen.lg.jp,E913849744845988
花筐小学校,カキョウショウガッコウ,福井県越前市粟田部町41-12,778420045,kakyo_el@city.echizen.lg.jp,E913849976925413
岡本小学校,オカモトショウガッコウ,福井県越前市定友町10-15 ,778420101,okamoto_el@city.echizen.lg.jp,E913849984846152
南中山小学校,ミナミナカヤマショウガッコウ,福井県越前市中津山町38-13-2,778420225,minaminakayama_el@city.echizen.lg.jp,E913873321335485
服間小学校,フクマショウガッコウ,福井県越前市藤木町12-11 ,778421002,-,E913873326314127
上太田保育園,カミオオタホイクエン,福井県越前市上太田町11-2 ,778220065,kamioda-ho@city.echizen.lg.jp,E913849873182154
認定こども園北日野,ニンテイコドモエンキタヒノ,福井県越前市矢放町16-4,778221772,kitahino-nk@city.echizen.lg.jp,E913849864787521
認定こども園北新庄,ニンテイコドモエンキタシンジョウ,福井県越前市北町38-6,778221974,kitashinjo-nk@city.echizen.lg.jp,E913849896821294
家久保育園,イエヒサホイクエン,福井県越前市家久町94-2-1,778241244,iehisa-ho@city.echizen.lg.jp,E913849887686745
なかよし保育園,ナカヨシホイクエン,福井県越前市高瀬二丁目4-14,778238024,nakayoshi-ho@city.echizen.lg.jp,E913849881126424
認定こども園岡本,ニンテイコドモエンオカモト,福井県越前市岩本町5-26,778420435,okamoto-nk@city.echizen.lg.jp,E913849984219427
認定こども園南中山,ニンテイコドモエンミナミナカヤマ,福井県越前市中津山町41-13-2,778420325,minaminakayama-nk@city.echizen.lg.jp,E913873321528135
認定こども園服間,ニンテイコドモエンフクマ,福井県越前市藤木町12-34,778421029,fukuma-nk@city.echizen.lg.jp,E913873326224296
武生第一中学校,タケフダイイチチュウガッコウ,福井県越前市平出一丁目６－１,778231411,takefudaiichi_ju@city.echizen.lg.jp,E913849876335496
武生第二中学校,タケフダイニチュウガッコウ,福井県越前市妙法寺町42-15,778231422,takefudaini_ju@city.echizen.lg.jp,E913849854753113
武生第二中学校坂口分校,タケフダイニチュウガッコウサカグチブンコウ,福井県越前市湯谷町24-25,778281808,takefudainisakaguchi_ju@city.echizen.lg.jp,E913849725721429
武生第三中学校,タケフダイサンチュウガッコウ,福井県越前市村国2丁目3-56,778231433,takefudaisan_ju@city.echizen.lg.jp,E913849882943954
万葉中学校,マンヨウチュウガッコウ,福井県越前市西尾町48-18,778271258,manyo_ju@city.echizen.lg.jp,E913849869399643
武生第五中学校,タケフダイゴチュウガッコウ,越前市都辺町36-73,778281004,takefudaigo_ju@city.echizen.lg.jp,E913849744981295
武生第六中学校,タケフダイロクチュウガッコウ,福井県越前市四郎丸町16-1,778221462,takefudairoku_ju@city.echizen.lg.jp,E913849827417259
南越中学校,ナンエツチュウガッコウ,福井県越前市野岡町28-4,778421870,nanetu_ju@city.echizen.lg.jp,E913873321325347
王子保児童センター,オウシオジドウセンター,越前市四郎丸町５５－４－４,778242299,-,E913849827682153
武生東児童センター,タケフヒガシジドウセンター,越前市国府二丁目１６－８,778245229,-,E913849884364367
吉野児童館,ヨシノジドウカン,越前市本保町１９－９－１,778293230,-,E913873213335215
武生南児童センター,タケフミナミジドウセンター,越前市武生柳町１１－２８,778235892,-,E913849857832283
武生西児童センター,タケフニシジドウセンター,越前市中央二丁目４－１０,778234893,-,E913849873619859
大虫児童館,オオムシジドウカン,越前市丹生郷町１３－２０－４,778250770,-,E913849875116839
国高児童センター,クニタカジドウセンター,越前市国高二丁目３２５－３,778215055,-,E913849894433733
味真野児童センター,アジマノジドウセンター,越前市池泉町１４－１,77827899,-,E913849949153599
岡本児童館,オカモトジドウカン,越前市定友町１０－１５,778430974,-,E913849984845391
南中山児童館,ミナミナカヤマジドウカン,越前市西庄境町２１－７－１,778430991,-,E913873321612692
服間児童館,フクマジドウカン,越前市藤木町１２－４３,778431722,-,E913873323887531
北日野児童センター,キタヒノジドウセンター,越前市小野谷町１－１３,778221176,-,E913849867219398
神山児童館,カミヤマジドウカン,越前市広瀬町102-41,778425573,-,E913849844591458
北新庄児童館,キタシンジョウジドウカン,越前市北町５４－２５,778427601,-,E913849896647787
花筐児童館,カキョウジドウカン,越前市粟田部町１７－１７,778430990,-,E913849979375132
武生東公民館,タケフヒガシコウミンカン,福井県越前市国府二丁目9-12,778234763,takefuhigashi_ko@city.echizen.lg.jp,E913849884365354
武生西公民館,タケフニシコウミンカン,福井県越前市中央二丁目5-35,778234635,takefunishi_ko@city.echizen.lg.jp,E913849873615577
武生南公民館,タケフミナミコウミンカン,福井県越前市武生柳町12-27,778235103,takefuminami_ko@city.echizen.lg.jp,E913849857589671
神山公民館,カミヤマコウミンカン,福井県越前市広瀬町102-55-2,778238010,kamiyama_ko@city.echizen.lg.jp,E913849844576824
吉野公民館,ヨシノコウミンカン,福井県越前市本保町19-6,778234600,yoshino_ko@city.echizen.lg.jp,E913873213334552
国高公民館,クニタカコウミンカン,福井県越前市国高二丁目324-13,778234601,kunitaka_ko@city.echizen.lg.jp,E913849894514894
大虫公民館,オオムシコウミンカン,福井県越前市丹生郷町13-20-1,778233508,omushi_ko@city.echizen.lg.jp,E913849872778999
坂口公民館,サカグチコウミンカン,福井県越前市湯谷町24-18-1,778281046,sakaguchi_ko@city.echizen.lg.jp,E913849725751221
王子保公民館,オウシホコウミンカン,福井県越前市四郎丸町65-2-1,778239666,oshio_ko@city.echizen.lg.jp,E913849828475379
北日野公民館,キタヒノコウミンカン,福井県越前市矢放町21-11,778234603,kitahino_ko@city.echizen.lg.jp,E913849867131756
北新庄公民館,キタシンジョウコウミンカン,福井県越前市北町54-25,778234604,kitashinjo_ko@city.echizen.lg.jp,E913849896671159
味真野公民館,アジマノコウミンカン,福井県越前市味真野町7-2-1,778271926,ajimano_ko@city.echizen.lg.jp,E913849945842239
白山公民館,シラヤマコウミンカン,福井県越前市都辺町36-84,778281045,shirayama_ko@city.echizen.lg.jp,E913849744945926
花筐公民館,カキョウコウミンカン,福井県越前市粟田部町17-20,778420361,kakyo-ko@city.echizen.lg.jp,E913849979371831
岡本公民館,オカモトコウミンカン,福井県越前市定友町10-2-2,778421438,okamoto-ko@city.echizen.lg.jp,E913849984811386
南中山公民館,ミナミナカヤマコウミンカン,福井県越前市西庄境町21-7-1,778431290,minaminaka-ko@city.echizen.lg.jp,E913873321612663
服間公民館,フクマコウミンカン,福井県越前市藤木町12-39-1,778430977,fukuma-ko@city.echizen.lg.jp,E913873323884739
