https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
KAMIYAMA SHOGAKKO,Hirose-cho 102-43,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8857334,136.1360452,REGIÃO DE KAMIYAMA,0778-22-1104,category3,Todos os tipos de desastres
YOSHINO SHOGAKKO,Honbo-cho 17-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261038,136.1572387,REGIÃO DE YOSHINO,0778-22-0192,category1,prevenção de desastres
YOSHINO SHOGAKKO,Honbo-cho 17-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261038,136.1572387,REGIÃO DE YOSHINO,0778-22-0192,category2,ÁREA DE REFÚGIO DA REGIÃO
YOSHINO SHOGAKKO,Honbo-cho 17-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261038,136.1572387,REGIÃO DE YOSHINO,0778-22-0192,category3,Todos os tipos de desastres
COMMUNITY CENTER YANAGISO,Iehisa-cho 105-10-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9204726,136.1719215,REGIÃO DE YOSHINO,0778-23-3436,category1,prevenção de desastres
COMMUNITY CENTER YANAGISO,Iehisa-cho 105-10-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9204726,136.1719215,REGIÃO DE YOSHINO,0778-23-3436,category2,ÁREA DE REFÚGIO DA REGIÃO
COMMUNITY CENTER YANAGISO,Iehisa-cho 105-10-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9204726,136.1719215,REGIÃO DE YOSHINO,0778-23-3436,category3,Todos os tipos de desastres
KUNITAKA SHOGAKKO,Kunitaka 1 Chome 15-5,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9123147,136.1859754,REGIÃO DE KUNITAKA,0778-22-1045,category1,prevenção de desastres
KUNITAKA SHOGAKKO,Kunitaka 1 Chome 15-5,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9123147,136.1859754,REGIÃO DE KUNITAKA,0778-22-1045,category2,ÁREA DE REFÚGIO DA REGIÃO
KUNITAKA SHOGAKKO,Kunitaka 1 Chome 15-5,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9123147,136.1859754,REGIÃO DE KUNITAKA,0778-22-1045,category3,Todos os tipos de desastres
TAKEFU DAI SAN CHUGAKKO,Murakuni 2 Chome 3-56,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9057096,136.1758765,REGIÃO DE KUNITAKA,0778-23-1433,category1,prevenção de desastres
TAKEFU DAI SAN CHUGAKKO,Murakuni 2 Chome 3-56,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9057096,136.1758765,REGIÃO DE KUNITAKA,0778-23-1433,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU DAI SAN CHUGAKKO,Murakuni 2 Chome 3-56,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9057096,136.1758765,REGIÃO DE KUNITAKA,0778-23-1433,category3,Todos os tipos de desastres
OMUSHI SHOGAKKO,Takamori-cho 14-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9062085,136.1418661,REGIÃO DE OMUSHI,0778-22-1109,category1,prevenção de desastres
OMUSHI SHOGAKKO,Takamori-cho 14-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9062085,136.1418661,REGIÃO DE OMUSHI,0778-22-1109,category2,ÁREA DE REFÚGIO DA REGIÃO
OMUSHI SHOGAKKO,Takamori-cho 14-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9062085,136.1418661,REGIÃO DE OMUSHI,0778-22-1109,category3,Todos os tipos de desastres
OSHIO SHOGAKKO,Imajuku-cho 5-14,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8661114,136.1674812,REGIÃO DE OSHIO,0778-22-1293,category1,prevenção de desastres
OSHIO SHOGAKKO,Imajuku-cho 5-14,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8661114,136.1674812,REGIÃO DE OSHIO,0778-22-1293,category2,ÁREA DE REFÚGIO DA REGIÃO
OSHIO SHOGAKKO,Imajuku-cho 5-14,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8661114,136.1674812,REGIÃO DE OSHIO,0778-22-1293,category3,Todos os tipos de desastres
TAKEFU DAI ROKU CHUGAKKO,Shiromaru-cho 16-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8657,136.1590542,REGIÃO DE OSHIO,0778-22-1462,category1,prevenção de desastres
TAKEFU DAI ROKU CHUGAKKO,Shiromaru-cho 16-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8657,136.1590542,REGIÃO DE OSHIO,0778-22-1462,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU DAI ROKU CHUGAKKO,Shiromaru-cho 16-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8657,136.1590542,REGIÃO DE OSHIO,0778-22-1462,category3,Todos os tipos de desastres
KITAHINO SHOGAKKO,Onodani-cho 2-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8894509,136.190595,REGIÃO DE KITAHINO,0778-22-1095,category1,prevenção de desastres
KITAHINO SHOGAKKO,Onodani-cho 2-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8894509,136.190595,REGIÃO DE KITAHINO,0778-22-1095,category2,ÁREA DE REFÚGIO DA REGIÃO
KITAHINO SHOGAKKO,Onodani-cho 2-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8894509,136.190595,REGIÃO DE KITAHINO,0778-22-1095,category3,Todos os tipos de desastres
MANYO CHUGAKKO,Nishio-cho 48-18,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8922735,136.2135026,REGIÃO DE KITAHINO,0778-27-1258,category1,prevenção de desastres
MANYO CHUGAKKO,Nishio-cho 48-18,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8922735,136.2135026,REGIÃO DE KITAHINO,0778-27-1258,category2,ÁREA DE REFÚGIO DA REGIÃO
MANYO CHUGAKKO,Nishio-cho 48-18,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8922735,136.2135026,REGIÃO DE KITAHINO,0778-27-1258,category3,Todos os tipos de desastres
KITASHINJO SHOGAKKO,Kita-cho 47-6,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9139874,136.2099638,REGIÃO DE KITASHINJO,0778-22-1040,category1,prevenção de desastres
KITASHINJO SHOGAKKO,Kita-cho 47-6,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9139874,136.2099638,REGIÃO DE KITASHINJO,0778-22-1040,category2,ÁREA DE REFÚGIO DA REGIÃO
KITASHINJO SHOGAKKO,Kita-cho 47-6,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9139874,136.2099638,REGIÃO DE KITASHINJO,0778-22-1040,category3,Todos os tipos de desastres
AJIMANO SHOGAKKO,Ikeizumi-cho 9-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8905074,136.2328142,REGIÃO DE AJIMANO,0778-27-1323,category1,prevenção de desastres
AJIMANO SHOGAKKO,Ikeizumi-cho 9-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8905074,136.2328142,REGIÃO DE AJIMANO,0778-27-1323,category2,ÁREA DE REFÚGIO DA REGIÃO
AJIMANO SHOGAKKO,Ikeizumi-cho 9-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8905074,136.2328142,REGIÃO DE AJIMANO,0778-27-1323,category3,Todos os tipos de desastres
SHIRAYAMA SHOGAKKO,Tobe-cho 24-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8880581,136.0528846,REGIÃO DE SHIRAYAMA,0778-28-1002,category1,prevenção de desastres
SHIRAYAMA SHOGAKKO,Tobe-cho 24-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8880581,136.0528846,REGIÃO DE SHIRAYAMA,0778-28-1002,category2,ÁREA DE REFÚGIO DA REGIÃO
SHIRAYAMA SHOGAKKO,Tobe-cho 24-2,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8880581,136.0528846,REGIÃO DE SHIRAYAMA,0778-28-1002,category3,Todos os tipos de desastres
TAKEFU DAI GO CHUGAKKO,Tobe-cho 36-73,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8885303,136.0568425,REGIÃO DE SHIRAYAMA,0778-28-1004,category1,prevenção de desastres
TAKEFU DAI GO CHUGAKKO,Tobe-cho 36-73,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8885303,136.0568425,REGIÃO DE SHIRAYAMA,0778-28-1004,category2,ÁREA DE REFÚGIO DA REGIÃO
TAKEFU DAI GO CHUGAKKO,Tobe-cho 36-73,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.8885303,136.0568425,REGIÃO DE SHIRAYAMA,0778-28-1004,category3,Todos os tipos de desastres
KAKYOU SHOGAKKO,Awatabe-cho 41-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9141213,136.2403936,REGIÃO DE AWATABE,0778-42-0045,category1,prevenção de desastres
KAKYOU SHOGAKKO,Awatabe-cho 41-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9141213,136.2403936,REGIÃO DE AWATABE,0778-42-0045,category2,ÁREA DE REFÚGIO DA REGIÃO
KAKYOU SHOGAKKO,Awatabe-cho 41-12,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9141213,136.2403936,REGIÃO DE AWATABE,0778-42-0045,category3,Terremoto
IMADATE GEIJYUTSUKAN,Awatabe-cho 11-1-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9187262,136.2472218,REGIÃO DE AWATABE,0778-42-2700,category1,prevenção de desastres
IMADATE GEIJYUTSUKAN,Awatabe-cho 11-1-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9187262,136.2472218,REGIÃO DE AWATABE,0778-42-2700,category2,ÁREA DE REFÚGIO DA REGIÃO
IMADATE GEIJYUTSUKAN,Awatabe-cho 11-1-1,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9187262,136.2472218,REGIÃO DE AWATABE,0778-42-2700,category3,Todos os tipos de desastres
IMADATE TAIIKU CENTER,Iwamoto-cho 1-9,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9098967,136.2406742,REGIÃO DE AWATABE,0778-43-1587,category1,prevenção de desastres
IMADATE TAIIKU CENTER,Iwamoto-cho 1-9,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9098967,136.2406742,REGIÃO DE AWATABE,0778-43-1587,category2,ÁREA DE REFÚGIO DA REGIÃO
IMADATE TAIIKU CENTER,Iwamoto-cho 1-9,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9098967,136.2406742,REGIÃO DE AWATABE,0778-43-1587,category3,Todos os tipos de desastres
OKAMOTO SHOGAKKO,Sadatomo-cho 10-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9151435,136.2451764,REGIÃO DE OKAMOTO,0778-42-0101,category1,prevenção de desastres
OKAMOTO SHOGAKKO,Sadatomo-cho 10-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9151435,136.2451764,REGIÃO DE OKAMOTO,0778-42-0101,category2,ÁREA DE REFÚGIO DA REGIÃO
OKAMOTO SHOGAKKO,Sadatomo-cho 10-15,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9151435,136.2451764,REGIÃO DE OKAMOTO,0778-42-0101,category3,Todos os tipos de desastres
NANETSU CHUGAKKO,Nooka-cho 28-4,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261258,136.2497424,REGIÃO DE MINAMINAKAYAMA,0778-42-1870,category1,prevenção de desastres
NANETSU CHUGAKKO,Nooka-cho 28-4,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261258,136.2497424,REGIÃO DE MINAMINAKAYAMA,0778-42-1870,category2,ÁREA DE REFÚGIO DA REGIÃO
NANETSU CHUGAKKO,Nooka-cho 28-4,Seção de Segurança e Prevenção de Desastres do Município de Echizen,35.9261258,136.2497424,REGIÃO DE MINAMINAKAYAMA,0778-42-1870,category3,Todos os tipos de desastres
