,市HP,フリガナ,住所,電話番号,メールアドレス,測地系,備考,行政組織規則,公共施設等総合管理計画,A,B,C,D：C＝「有」の場合,E：C＝「有」かつD＝「無」の場合,,,
広瀬勤労者研修センター,×,ヒロセキンロウシャケンシュウセンター,福井県越前市広瀬町144-1-1,,-,E913849848221667,イーナビタを参考,〇,〇,,,,,,,,
行松会館,×,ユキマツカイカン,福井県越前市行松町２０−１５−１,0778237976,-,E913849854318268,エキテンを参考,〇,〇,,,,,,,,
越前和紙の里紙の文化博物館,×,エチゼンワシノサトカミノブンカハクブツカン,福井県越前市新在家町１１－１２,0778420016,-,E913849984294415,エキテンを参考,〇,〇,,,,,,,,
越前和紙の里体験工房「パピルス館」,×,エチゼンワシノサトタイケンコウボウ「パピルスカン」,福井県越前市新在家町8-44,0778421363,-,E913849984426857,館HPを参考,〇,〇,,,,,,,,
越前和紙の里卯立の工芸館,×,エチゼンワシノサトウダツノコウゲイヒン,福井県越前市新在家町9-21-2,0778437800,-,E913849984514636,館HPを参考,〇,〇,,,,,,,,
越前和紙の里コミュ二ティ広場,×,エチゼンワシノサトコミュニティヒロバ,越前市新在家町第10号9番地の1 ,,-,E913849984525283,資料を参考,〇,×,,,,,,,,
越前長屋,×,エチゼンナガヤ,越前市新在家町第2号56番地 ,,-,E913849984463714,資料を参考,〇,〇,,,,,,,,
越前てわざ工房,×,エチゼンテワザコウボウ,越前市新在家町第2号56番地 ,,-,E913849984463714,資料を参考,〇,〇,,,,,,,,
越前打刃物振興施設,×,エチゼンダハンモノフッコウシセツ,福井県越前市池ノ上町48-6-1 ,0778221241,-,E913849842564557,館HPを参考,〇,×,,,,,,,,
藤波亭,×,フジナミテイ,福井県越前市東千福町２１－１２ ,0778227133,-,E913849849342443,いこーよを参考,〇,×,,,,,,,,
家久農村婦人の村,×,イイエヒサノウソンノムラ,越前市家久町78-56-2,0778245240,-,E913873222163645,"「村」→「家」では？
市役所HPを参考",〇,〇,,,,,,,,
もやいの郷・農楽園,×,モヤイノゴオウ・ノウラクエン,越前市横住町１７－２９ ,0778423838,-,E913881114518296,市役所HPを参考,〇,〇,,,,,,,,
月尾山村広場,×,ツキオサンソンヒロバ,越前市杉尾町第24号1番地,0778223008,-,-,"住所が不確定
住所は資料を参考",〇,×,,,,,,,,
服間改善センター,×,フクマカイゼンセンター,福井県越前市藤木町１２−３９−１,0778430977,-,E913873323884739,マピオンを参考,〇,〇,,,,,,,,
月尾サブセンター,×,ツキオサブセンター,福井県越前市轟井町２１−２９−１,0778422411,-,E913849986562891,マピオンを参考,〇,〇,,,,,,,,
蔵の辻,×,クラノツジ,越前市蓬莱町 ,0778223012,-,E913849881629461,ふくいドットコムを参考,〇,×,,,,,,,,
八石ふれあい館,×,-,-,,-,-,記載なし,×,〇,,,,,,,,
今立勤労青少年ホーム,×,イマダテキンロウセイショウエンホーム,福井県越前市西庄境町21-7-1,0778431290,-,E913873321612666,goo地図を参考,×,〇,,,,,,,,
武生勤労青少年ホーム,×,タケフキンロウセイショウネンホーム,福井県越前市高瀬　2丁目9-32,0778240444,-,E913849849898976,イーナビタを参考,×,〇,,,,,,,,
粟田部コミニュティーセンター「うすずみ会館」,×,アワタベコミニュケーションセンター「ウスズミカイカン」,福井県越前市粟田部町７１−３−２ ,,-,E913849976498233,マピオンを参考,×,〇,,,,,,,,
青年センター,×,セイネンセンター,福井県越前市高瀬2-8-23,0778223977,-,E913849873265916,"閉館の可能性
いこーよを参考",×,〇,,,,,,,,
島会館,×,シマカイカン,福井県越前市粟田部町22-21-1,,,E913849979219335,goo地図を参考,×,〇,,,,,,,,
今立歴史民俗資料館,×,イマダテレキシミンゾクシリョウカン,福井県越前市定友21-3-1,0778430229,,E913849987295388,館HPを参考,×,〇,,,,,,,,
旧谷口家住宅,×,キュウタニグチケジュウタク,福井県越前市余川町55-1 ,,,E913849946579421,福井調べを参考,×,〇,,,,,,,,
越前の里,×,エチゼンノサト,,,,,越前そばの里では？,×,〇,,,,,,,,
工芸開放試験場,×,コウゲイカイホウシケンジョウ,,,,,閉館の可能性,×,〇,,,,,,,,
市役所,×,シヤクショ,福井県越前市府中一丁目13-7,0778-22-3000,koutyou@city.echizen.lg.jp,E913849882448922,,×,〇,,,,,,,,
市役所分庁舎,×,シヤクショブンチョウシャ,福井県越前市蓬莱町8,,,E913849881633714,マオピンを参考,×,〇,,,,,,,,
今立総合支所,×,イマダテソウゴウシショ,福井県越前市粟田部町9-1-9,0778-43-7811,im_chiiki@city.echizen.lg.jp,E913849987294143,市役所HPを参考,×,〇,,,,,,,,
スポーツ施設,,,,,,,,,,,,,,,,,
越前市ＡＷ－Ｉスポーツアリーナ（武生中央公園総合体育館）,〇,エチゼンシＡＷ－Ｉスポーツアリーナ(タケフチュウオウコウエンソウゴウタイイクカン),越前市高瀬二丁目８－２３ ,0778226395,-,E913849873265916,,×,〇,無,スポーツ課）市スポーツ協会,有,無,,,,
武道館,〇,ブドウカン,越前市中央一丁目８－１５,0778234874 ,-,E913849873375822,,×,〇,無,スポーツ課）市スポーツ協会,有,無,,,,
みどりと自然の村,〇,ミドリトシゼンノムラ,越前市安養寺町５－３,0778281119 ,midorinomura@echizen-shirayama.com,E913849776324942,,×,〇,無,スポーツ課,有,無,,,,
今立テニスコート,〇,イマダテテニスコート,越前市山室町第５号１番地 ,,-,E913873322112427,,×,×,有,,有,,,,,
今立体育センター,〇,イマダテタイイクセンター,越前市岩本町第１号９番地 ,0778431587 ,-,E913849976391596,,×,〇,無,スポーツ課,有,無,,,,
今立中央公園多目的広場,〇,イマダテチュウオウコウエンタモクテキヒロバ,越前市野岡町（南越中学校隣）,0778421870 ,-,E913873322115765,,×,×,有,,有,,,,,
池ノ上森林スポーツ林道,〇,イケノガミシンリンスポーツリンドウ,越前市池ノ上町 ,0778223008,nourinsebi@city.echizen.lg.jp,E913849841138218,,〇,×,無,農林整備課,無,無,,,,
家久スポーツ公園のスポーツ施設,〇,イエヒサスポーツコウエンノスポーツシセツ,越前市家久町105-1,0778237986 ,iehisa@zett.co.jp,E913849888551573,,×,〇,有,,有,,,,,
武生中央公園のスポーツ施設,〇,タケフチュウオウコウエンノスポーツシセツ,越前市高瀬二丁目 ,0778236222,-,E913849873334799,,×,〇,有,,有,,,,,
武生東運動公園のスポーツ施設,〇,タケフヒガシウンドウコウエンノスポーツシセツ,越前市宮谷町35-10,0778243712,-,E913849947594322,,×,〇,有,,有,,,,,
丹南総合公園のスポーツ施設,〇,タンナンソウゴウコウエンノスポーツシセツ,越前市余田町５０－４－１,0778426780 ,tannan.sk@bz04.plala.or.jp,E913873213513234,,×,×,有,,有,,,,,
越前市弓道場,〇,エチゼンシキュウドウジョウ,越前市妙法寺町36-2-1 ,0778227463,sport@city.echizen.lg.jp,E913849854752668,,×,〇,無,スポーツ課,有,無,,,,
瓜生水と緑公園体育館,〇,ウリュウミズトミドリコウエンタイイクカン,越前市瓜生町１９－７－１,0778243712,-,E913873223239371,,×,〇,有,,有,,,,,
武生特殊鋼材ドリームサッカー場（越前市サッカー場）,〇,タケフトクシュコウザイドリームサッカージョウ(エチゼンシサッカージョウ),越前市瓜生町６－１６－２,0778227463,sport@city.echizen.lg.jp,E913873223616464,,×,×,無,スポーツ課,有,無,,,,
北新庄体育館,〇,キタシンジョウタイイクカン,越前市北町54-25,0778234604,-,E913849896593658,,×,〇,有,,有,,,,,
北日野体育館,〇,キタヒノタイイクカン,越前市矢放町21-11,0778234603,-,E913849867123995,,×,〇,有,,有,,,,,
大虫体育館,〇,オオムシタイイクカン,越前市丹生郷町13-20-1,0778233508,-,E913849872779749,,×,〇,有,,有,,,,,
粟田部体育館,×,アワタベタイイクカン,福井県越前市粟田部町中央1-501,,,E913849987199581,,×,〇,,,,,,,,
北日野小学校グラウンドナイター,〇,キタヒノショウガッコウグラウンドナイター,福井県越前市矢放町21-11 ,0778234603,-,E913849867123995,,×,×,有,,有,,,,,
今立ゲートボール場,×,イマダテゲートボールジョウ,越前市野岡町第36号1番地,0778-43-1290,,E913873321262282,"住宅の可能性
市役所HPを参考",×,〇,,,,,,,,
池ノ上勤労者スポーツセンター,×,イケノガミキンロウシャスポーツセンター,福井県越前市池ノ上町31-18-3,0778-24-1430,,E913849841922145,,〇,〇,,,,,,,,
高瀬トレーニングセンター,×,タカセトレーニングセンター,福井県越前市高瀬1-9-7,,,E913849849917866,,×,〇,,,,,,,,
白崎公園屋内ゲートボール場,×,シロサキコウエンオクナイゲートボールジョウ,福井県越前市白崎町３５－２３－１,0778212941,,E913849818197935,,×,〇,,,,,,,,
今立ふれあいプラザ,×,イマダテフレアイプラザ,福井県越前市粟田部町9-1-9,,,E913849987283877,,×,〇,,,,,,,,
帆山公園相撲場,×,ホヤマコウエンスモウジョウ,,,,,どこかわかりません,×,〇,,,,,,,,
武生体育センター,×,タケフタイイクセンター,福井県越前市行松町２５−１０,,,E913849851691948,,×,〇,,,,,,,,
生活環境施設,,,,,,,,,,,,,,,,,
越前市武生駅自転車置場,〇,エチゼンシタケフエキジテンシャオキバ,福井県越前市府中一丁目１番１号,0778223081,seikatu@city.echizen.lg.jp,E913849882467957,,〇,×,無,防災危機管理課,無,無,,,,
越前市王子保駅自転車置場,〇,エチゼンシオウシオエキジテンシャオキバ,福井県越前市四郎丸町第５４号６番地の４,0778223081,seikatu@city.echizen.lg.jp,E913849827645279,,〇,×,無,防災危機管理課,無,無,,,,
越前市武生新駅自転車置場,〇,エチゼンシタケフシンエキジテンシャオキバ,福井県越前市万代町７番２５号,0778223081,seikatu@city.echizen.lg.jp,E913849882766418,,×,×,無,防災危機管理課,無,無,,,,
越前市武生駅東自転車置場,〇,エチゼンシタケフエキヒガシジテンシャオキバ,福井県越前市錦町９－５－１,0778223081,seikatu@city.echizen.lg.jp,E913849882466981,,×,×,無,防災危機管理課,無,無,,,,
越前武生駅自転車置場,×,エチゼンタケフエキジテンシャオキバ,福井県越前市府中一丁目１番１号,0778-22-3081,seikatu@city.echizen.lg.jp,E913849882468121,市役所HPに記載あり,〇,×,,,,,,,,
越前市斎場,〇,エチゼンシサイジョウ,越前市春日野町第１０５号１１番地,0778233960,-,E913849814999526,,〇,〇,有,,有,,,越前市斎場設置及び管理条例,越前市斎場,越前市春日野町第105号11番地
鴨谷霊苑,×,カモダニレイエン,越前市白崎町・春日野町地内,,,E913849815889749,市役所HPに記載あり,〇,×,,,,,,,,
佐山鹿ノ楽墓園,×,サヤマカノラクボエン,越前市粟田部町第105-12-2,,,E913849987447765,市役所HPに記載あり,〇,×,,,,,,,,
越前市エコビレッジ交流センター,〇,エチゼンシエコビレッジコウリュウセンター,越前市湯谷町２５－２５－２,0778281123,ecovilg@tk.ttn.ne.jp,E913849725751447,,〇,〇,有,,有,,,,,
越前市茶臼山ふるさと公園,〇,エチゼンシチャウスヤマフルサトコウエン,越前市沢町地内,0778225342,-,E913849849441994,,〇,×,無,,無,無,,,,
市民プラザたけふ,〇,シミンプラザタケフ,越前市府中一丁目１１番２号,0778258800 ,-,E913849882494589,,×,×,有,,有,,,,,
逢坂山公園,×,オオサカヤマコウエン,福井県越前市野岡町 ,,,E913849987723768,,〇,×,,,,,,,,
都市公園,×,トシコウエン,,,,,,〇,×,,,,,,,,
市に帰属された公園,×,シニキゾクサレタコウエン,,,,,,〇,×,,,,,,,,
王子保駅駐車場,×,オウシホエチチュウシャジョウ,四郎丸町55-4-20,0778-23-9666,,E913849827642974,,〇,×,,,,,,,,
武生駅東駐車場,×,タケフエキヒガシチュウシャジョウ,錦町9-8-4,0778-25-6802,,,,〇,×,,,,,,,,
市営住宅,×,シエイジュウタク,,,,,,〇,×,,,,,,,,
（行）道路維持事務所,×,ドウロイジジムショ,,,,,わかりません,〇,×,,,,,,,,
防災倉庫,×,ボウサイソウコ,,,,,,×,○,,,,,,,,
除雪施設,×,ジョセツシセツ,,,,,,×,○,,,,,,,,
保健・医療・福祉,,,,,,,,,,,,,,,,,
市民プラザたけふ「福祉健康センター」,〇,シミンプラザタケフ「フクシケンコウセンター」,越前市府中一丁目１１番２号,0778258800 ,-,E913849882494589,,〇,×,有,,有,,,,,
コミュニティーセンター柳荘,〇,コミュニティーセンターリュウソウ,越前市家久町105-10-1 ,0778233436,yanagisou@gh.ttn.ne.jp,E913849888515944,,〇,〇,有,社会福祉課,有,,,越前市コミュニティーセンター設置及び管理条例,越前市コミュニティーセンター柳荘,越前市家久町第105号10番地の1
しきぶ温泉『湯楽里』,〇,シキブオンセン『ユラリ』,福井県越前市白崎町68-8,0778257800,yurari@yu-iwashita.jp,E913849818246839,,〇,〇,無,社会福祉課,有,無,,,,
越前市児童発達支援センターなないろ,〇,エチゼンシジドウハッタツシエンセンターナナイロ,越前市府中一丁目11－2,0778223628,jidou@city.echizen.lg.jp,E913849882494589,,〇,×,無,子ども福祉課,無,無,,,,
越前市社会福祉センター,〇,エチゼンシシャカイフクシセンター,越前市杉尾町1-27-1,0778438888,-,E913849988431674,,〇,〇,有,社会福祉課,有,,,越前市社会福祉センター設置及び管理条例,越前市社会福祉センター,越前市杉尾町第1号27番地1
市民プラザたけふ,〇,シミンプラザタケフ,越前市府中一丁目１１番２号,0778258800 ,-,E913849882494589,,×,×,有,,有,,,,,
老人福祉センター今寿苑,×,ロウジンフクシセンターイマジュエン,,,,,閉館の可能性,〇,〇,,,,,,,,
国民健康保険坂口診療所,×,コクミンケンコウホケンサカグチシンリョウジョ,越前市湯谷町24-18-1,0778-22-0103,,E913849725751238,,〇,×,,,,,,,,
生きがい創造館,×,イキガイソウゾウカン,福井県越前市杉尾町１−２４−１,,,E913849988428165,,×,〇,,,,,,,,
さんハウスたけふ,×,サンハウスタケフ,福井県越前市白崎町３５−８−１,,,E913849818423339,,×,〇,,,,,,,,
たけふ福祉工場,×,タケフフクシコウジョウ,福井県越前市白崎町３５−１０−１,,,E913849818198768,,×,〇,,,,,,,,
幼稚園,,,,,,,,,,,,,,,,,
武生西幼稚園,〇,タケフニシヨウチエン,福井県越前市中央二丁目2-13,0778220566,nishi-yo@city.echizen.lg.jp,E913849873661262,,〇幼稚園,〇,無,教育振興課,無,無,,,,
武生南幼稚園,×,タケフミナミヨウチエン,武生柳町12-32,,,E913849857823612,休園の可能性,〇幼稚園,〇,,,,,,,,
吉野幼稚園,〇,ヨシノヨウチエン,福井県越前市本保町19-9-1,0778225541,yoshino-yo@city.echizen.lg.jp,E913873213335136,,〇幼稚園,〇,無,教育振興課,無,無,,,,
国高幼稚園,〇,クニタカヨウチエン,福井県越前市国高二丁目319-3,0778224555,kunitaka-yo@city.echizen.lg.jp,E913849894447226,,〇幼稚園,〇,無,教育振興課,無,無,,,,
坂口幼稚園,〇,サカグチヨウチエン,福井県越前市湯谷24-25,0778281008,sakaguchi-yo@city.echizen.lg.jp,E913849725721419,,〇幼稚園,〇,無,教育振興課,無,無,,,,
王子保幼稚園,〇,オウシオヨウチエン,福井県越前市今宿町5-14,0778227710,oshio-yo@city.echizen.lg.jp,E913849827639947,,〇幼稚園,〇,無,教育振興課,無,無,,,,
味真野幼稚園,×,アジマノヨウチエン,池泉町9-1,,,E913849949146386,休園の可能性,〇幼稚園,〇,,,,,,,,
小学校,,,,,,,,,,,,,,,,,
武生東小学校,〇,タケフヒガシショウガッコウ,福井県越前市国府２丁目９−１２,,takefuhigashi_el＠city.echizen.lg.jp,E913849884336918,,〇小学校,〇,無,教育振興課,無,無,,,,
武生西小学校,〇,タケフニシショウガッコウ,越前市中央２丁目２－１３,0778220408,-,E913849873661151,,〇小学校,〇,無,教育振興課,無,無,,,,
武生南小学校,〇,タケフミナミショウガッコウ,福井県越前市武生柳町１３−２０,,takefuminami_el@city.echizen.lg.jp,E913849857568841,,〇小学校,〇,無,教育振興課,無,無,,,,
神山小学校,〇,カミヤマショウガッコウ,福井県越前市広瀬町１０２−４３,0778221104,kamiyama_el@city.echizen.lg.jp,E913849844581268,,〇小学校,〇,無,教育振興課,無,無,,,,
吉野小学校,〇,ヨシノショウガッコウ,福井県越前市本保町１７－１,0778220192,yoshino_el@city.echizen.lg.jp,E913849879988712,,〇小学校,〇,無,教育振興課,無,無,,,,
国高小学校,〇,クニタカショウガッコウ,福井県越前市国高１丁目１５−５,0778221045,-,E913849886664366,,〇小学校,〇,無,教育振興課,無,無,,,,
大虫小学校,〇,オオムシショウガッコウ,福井県越前市高森町１４−１５,0778221109,omushi_el@city.echizen.lg.jp,E913849872751751,,〇小学校,〇,無,教育振興課,無,無,,,,
坂口小学校,〇,サカグチショウガッコウ,福井県越前市湯谷町２４−２５ ,,,E913849725721411,,〇小学校,〇,無,教育振興課,無,無,,,,
王子保小学校,〇,オウシオショウガッコウ,福井県越前市今宿町５−１４,0778221293 ,oshio_el@city.echizen.lg.jp,E913849827639529,,〇小学校,〇,無,教育振興課,無,無,,,,
北日野小学校,〇,キタヒノショウガッコウ,福井県越前市小野谷町２−２,0778221095,kitahino_el@city.echizen.lg.jp,E913849867221384,,〇小学校,〇,無,教育振興課,無,無,,,,
北新庄小学校,〇,キタシンジョウショウガッコウ,福井県越前市北町47-6,0778221040,kitashinjo_el@city.echizen.lg.jp,E913849896832442,,〇小学校,〇,無,教育振興課,無,無,,,,
味真野小学校,〇,アジマノショウガッコウ,福井県越前市池泉町９−１ ,0778271323,-,E913849949143345,,〇小学校,〇,無,教育振興課,無,無,,,,
白山小学校,〇,シラヤマショウガッコウ,福井県越前市都辺町２４－２ ,0778281002,shirayama_el@city.echizen.lg.jp,E913849744845988,,〇小学校,〇,無,教育振興課,無,無,,,,
花筐小学校,〇,カキョウショウガッコウ,福井県越前市粟田部町41-12,0778420045,kakyo_el@city.echizen.lg.jp,E913849976925413,,〇小学校,〇,無,教育振興課,無,無,,,,
岡本小学校,〇,オカモトショウガッコウ,福井県越前市定友町10-15 ,0778420101,okamoto_el@city.echizen.lg.jp,E913849984846152,,〇小学校,〇,無,教育振興課,無,無,,,,
南中山小学校,〇,ミナミナカヤマショウガッコウ,福井県越前市中津山町38-13-2,0778420225,minaminakayama_el@city.echizen.lg.jp,E913873321335485,,〇小学校,〇,無,教育振興課,無,無,,,,
服間小学校,〇,フクマショウガッコウ,福井県越前市藤木町12-11 ,0778421002 ,-,E913873326314127,,〇小学校,〇,無,教育振興課,無,無,,,,
保育園・認定こども園,,,,,,,,,,,,,,,,,
上太田保育園,〇,カミオオタホイクエン,福井県越前市上太田町11-2 ,0778220065 ,kamioda-ho@city.echizen.lg.jp,E913849873182154,,〇,〇,無,子ども福祉課,無,無,,,,
認定こども園北日野,〇,ニンテイコドモエンキタヒノ,福井県越前市矢放町16-4,0778221772,kitahino-nk@city.echizen.lg.jp,E913849864787521,,〇,〇,無,子ども福祉課,無,無,,,,
認定こども園北新庄,〇,ニンテイコドモエンキタシンジョウ,福井県越前市北町38-6,0778221974,kitashinjo-nk@city.echizen.lg.jp,E913849896821294,,〇,〇,無,子ども福祉課,無,無,,,,
家久保育園,〇,イエヒサホイクエン,福井県越前市家久町94-2-1,0778241244,iehisa-ho@city.echizen.lg.jp,E913849887686745,,〇,〇,無,子ども福祉課,無,無,,,,
なかよし保育園,〇,ナカヨシホイクエン,福井県越前市高瀬二丁目4-14,0778238024,nakayoshi-ho@city.echizen.lg.jp,E913849881126424,,〇,〇,無,子ども福祉課,無,無,,,,
認定こども園岡本,〇,ニンテイコドモエンオカモト,福井県越前市岩本町5-26,0778420435,okamoto-nk@city.echizen.lg.jp,E913849984219427,,〇,〇,無,子ども福祉課,無,無,,,,
認定こども園南中山,〇,ニンテイコドモエンミナミナカヤマ,福井県越前市中津山町41-13-2,0778420325,minaminakayama-nk@city.echizen.lg.jp,E913873321528135,,〇,〇,無,子ども福祉課,無,無,,,,
認定こども園服間,〇,ニンテイコドモエンフクマ,福井県越前市藤木町12-34,0778421029,fukuma-nk@city.echizen.lg.jp,E913873326224296,,〇,〇,無,子ども福祉課,無,無,,,,
中学校,,,,,,,,,,,,,,,,,
武生第一中学校,〇,タケフダイイチチュウガッコウ,福井県越前市平出一丁目６－１,0778231411,takefudaiichi_ju@city.echizen.lg.jp,E913849876335496,,〇中学校,〇,無,教育振興課,無,無,,,,
武生第二中学校,〇,タケフダイニチュウガッコウ,福井県越前市妙法寺町42-15,0778231422,takefudaini_ju@city.echizen.lg.jp,E913849854753113,,〇中学校,〇,無,教育振興課,無,無,,,,
武生第二中学校坂口分校,〇,タケフダイニチュウガッコウサカグチブンコウ,福井県越前市湯谷町24-25,0778281808,takefudainisakaguchi_ju@city.echizen.lg.jp,E913849725721429,,〇中学校,〇,無,教育振興課,無,無,,,,
武生第三中学校,〇,タケフダイサンチュウガッコウ,福井県越前市村国2丁目3-56,0778231433,takefudaisan_ju@city.echizen.lg.jp,E913849882943954,"ホームページが変更してます
",〇中学校,〇,無,教育振興課,無,無,,,,
万葉中学校,〇,マンヨウチュウガッコウ,福井県越前市西尾町48-18,0778271258　,manyo_ju@city.echizen.lg.jp,E913849869399643,,〇中学校,〇,無,教育振興課,無,無,,,,
武生第五中学校,〇,タケフダイゴチュウガッコウ,越前市都辺町36-73,0778281004,takefudaigo_ju@city.echizen.lg.jp,E913849744981295,,〇中学校,〇,無,教育振興課,無,無,,,,
武生第六中学校,〇,タケフダイロクチュウガッコウ,福井県越前市四郎丸町16-1,0778221462,takefudairoku_ju@city.echizen.lg.jp,E913849827417259,,〇中学校,〇,無,教育振興課,無,無,,,,
南越中学校,〇,ナンエツチュウガッコウ,福井県越前市野岡町28-4,0778421870,nanetu_ju@city.echizen.lg.jp,E913873321325347,,〇中学校,〇,無,教育振興課,無,無,,,,
児童センター・児童館,,,,,,,,,,,,,,,,,
王子保児童センター,〇,オウシオジドウセンター,越前市四郎丸町５５－４－４,0778242299,-,E913849827682153,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市王子保児童センター,越前市四郎丸町第55号4番地の4
武生東児童センター,〇,タケフヒガシジドウセンター,越前市国府二丁目１６－８,0778245229,-,E913849884364367,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市武生東児童センター,越前市国府二丁目16番8号
吉野児童館,〇,ヨシノジドウカン,越前市本保町１９－９－１,0778293230,-,E913873213335215,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市吉野児童館,越前市本保町第19号9番地の1
