https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
コミュニティセンター柳荘,越前市家久町105-10-1,防災安全課,35.9204726,136.1719215,吉野地区,0778-23-3436,category1,防災
コミュニティセンター柳荘,越前市家久町105-10-1,防災安全課,35.9204726,136.1719215,吉野地区,0778-23-3436,category2,広域避難場所
コミュニティセンター柳荘,越前市家久町105-10-1,防災安全課,35.9204726,136.1719215,吉野地区,0778-23-3436,category3,全災害
国高小学校,越前市国高一丁目15-5,防災安全課,35.9123147,136.1859754,国高地区,0778-22-1045,category1,防災
国高小学校,越前市国高一丁目15-5,防災安全課,35.9123147,136.1859754,国高地区,0778-22-1045,category2,広域避難場所
国高小学校,越前市国高一丁目15-5,防災安全課,35.9123147,136.1859754,国高地区,0778-22-1045,category3,全災害
武生第三中学校,越前市村国二丁目3-56,防災安全課,35.9057096,136.1758765,国高地区,0778-23-1433,category1,防災
武生第三中学校,越前市村国二丁目3-56,防災安全課,35.9057096,136.1758765,国高地区,0778-23-1433,category2,広域避難場所
武生第三中学校,越前市村国二丁目3-56,防災安全課,35.9057096,136.1758765,国高地区,0778-23-1433,category3,全災害
大虫小学校,越前市高森町14-15,防災安全課,35.9062085,136.1418661,大虫地区,0778-22-1109,category1,防災
大虫小学校,越前市高森町14-15,防災安全課,35.9062085,136.1418661,大虫地区,0778-22-1109,category2,広域避難場所
大虫小学校,越前市高森町14-15,防災安全課,35.9062085,136.1418661,大虫地区,0778-22-1109,category3,全災害
坂口小学校,越前市湯谷町24-25,防災安全課,35.8589351,136.0868953,坂口地区,0778-28-1808,category1,防災
坂口小学校,越前市湯谷町24-25,防災安全課,35.8589351,136.0868953,坂口地区,0778-28-1808,category2,広域避難場所
坂口小学校,越前市湯谷町24-25,防災安全課,35.8589351,136.0868953,坂口地区,0778-28-1808,category3,全災害
王子保小学校,越前市今宿町5-14,防災安全課,35.8661114,136.1674812,王子保地区,0778-22-1293,category1,防災
王子保小学校,越前市今宿町5-14,防災安全課,35.8661114,136.1674812,王子保地区,0778-22-1293,category2,広域避難場所
王子保小学校,越前市今宿町5-14,防災安全課,35.8661114,136.1674812,王子保地区,0778-22-1293,category3,全災害
武生第六中学校,越前市四郎丸町16-1,防災安全課,35.8657,136.1590542,王子保地区,0778-22-1462,category1,防災
武生第六中学校,越前市四郎丸町16-1,防災安全課,35.8657,136.1590542,王子保地区,0778-22-1462,category2,広域避難場所
武生第六中学校,越前市四郎丸町16-1,防災安全課,35.8657,136.1590542,王子保地区,0778-22-1462,category3,全災害
北日野小学校,越前市小野谷町2-2,防災安全課,35.8894509,136.190595,北日野地区,0778-22-1095,category1,防災
北日野小学校,越前市小野谷町2-2,防災安全課,35.8894509,136.190595,北日野地区,0778-22-1095,category2,広域避難場所
北日野小学校,越前市小野谷町2-2,防災安全課,35.8894509,136.190595,北日野地区,0778-22-1095,category3,全災害
万葉中学校,越前市西尾町48-18,防災安全課,35.8922735,136.2135026,北日野地区,0778-27-1258,category1,防災
万葉中学校,越前市西尾町48-18,防災安全課,35.8922735,136.2135026,北日野地区,0778-27-1258,category2,広域避難場所
万葉中学校,越前市西尾町48-18,防災安全課,35.8922735,136.2135026,北日野地区,0778-27-1258,category3,全災害
北新庄小学校,越前市北町47-6,防災安全課,35.9139874,136.2099638,北新庄地区,0778-22-1040,category1,防災
北新庄小学校,越前市北町47-6,防災安全課,35.9139874,136.2099638,北新庄地区,0778-22-1040,category2,広域避難場所
北新庄小学校,越前市北町47-6,防災安全課,35.9139874,136.2099638,北新庄地区,0778-22-1040,category3,全災害
味真野小学校,越前市池泉町9-1,防災安全課,35.8905074,136.2328142,味真野地区,0778-27-1323,category1,防災
味真野小学校,越前市池泉町9-1,防災安全課,35.8905074,136.2328142,味真野地区,0778-27-1323,category2,広域避難場所
味真野小学校,越前市池泉町9-1,防災安全課,35.8905074,136.2328142,味真野地区,0778-27-1323,category3,全災害
白山小学校,越前市都辺町24-2,防災安全課,35.8880581,136.0528846,白山地区,0778-28-1002,category1,防災
白山小学校,越前市都辺町24-2,防災安全課,35.8880581,136.0528846,白山地区,0778-28-1002,category2,広域避難場所
白山小学校,越前市都辺町24-2,防災安全課,35.8880581,136.0528846,白山地区,0778-28-1002,category3,全災害
武生第五中学校,越前市都辺町36-73,防災安全課,35.8885303,136.0568425,白山地区,0778-28-1004,category1,防災
武生第五中学校,越前市都辺町36-73,防災安全課,35.8885303,136.0568425,白山地区,0778-28-1004,category2,広域避難場所
武生第五中学校,越前市都辺町36-73,防災安全課,35.8885303,136.0568425,白山地区,0778-28-1004,category3,全災害
花筐小学校,越前市粟田部町41-12,防災安全課,35.9141213,136.2403936,粟田部地区,0778-42-0045,category1,防災
花筐小学校,越前市粟田部町41-12,防災安全課,35.9141213,136.2403936,粟田部地区,0778-42-0045,category2,広域避難場所
花筐小学校,越前市粟田部町41-12,防災安全課,35.9141213,136.2403936,粟田部地区,0778-42-0045,category3,地震時
いまだて芸術館,越前市粟田部町11-1-1,防災安全課,35.9187262,136.2472218,粟田部地区,0778-42-2700,category1,防災
いまだて芸術館,越前市粟田部町11-1-1,防災安全課,35.9187262,136.2472218,粟田部地区,0778-42-2700,category2,広域避難場所
いまだて芸術館,越前市粟田部町11-1-1,防災安全課,35.9187262,136.2472218,粟田部地区,0778-42-2700,category3,全災害
今立体育センター,越前市岩本町1-9,防災安全課,35.9098967,136.2406742,粟田部地区,0778-43-1587,category1,防災
今立体育センター,越前市岩本町1-9,防災安全課,35.9098967,136.2406742,粟田部地区,0778-43-1587,category2,広域避難場所
今立体育センター,越前市岩本町1-9,防災安全課,35.9098967,136.2406742,粟田部地区,0778-43-1587,category3,全災害
岡本小学校,越前市定友町10-15,防災安全課,35.9151435,136.2451764,岡本地区,0778-42-0101,category1,防災
岡本小学校,越前市定友町10-15,防災安全課,35.9151435,136.2451764,岡本地区,0778-42-0101,category2,広域避難場所
岡本小学校,越前市定友町10-15,防災安全課,35.9151435,136.2451764,岡本地区,0778-42-0101,category3,全災害
南越中学校,越前市野岡町28-4,防災安全課,35.9261258,136.2497424,南中山地区,0778-42-1870,category1,防災
南越中学校,越前市野岡町28-4,防災安全課,35.9261258,136.2497424,南中山地区,0778-42-1870,category2,広域避難場所
南越中学校,越前市野岡町28-4,防災安全課,35.9261258,136.2497424,南中山地区,0778-42-1870,category3,全災害
