https://schema.org/name,https://schema.org/address,https://code4fukui.github.io/rdf/#echizen_city_origin,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,https://code4fukui.github.io/rdf/#echizen_city_area,https://schema.org/telephone,https://schema.org/category,https://schema.org/description
北新庄小学校,越前市北町47-6,防灾安全课,35.9139874,136.2099638,北新庄地区,0778-22-1040,category1,防灾
北新庄小学校,越前市北町47-6,防灾安全课,35.9139874,136.2099638,北新庄地区,0778-22-1040,category2,广域避难所
北新庄小学校,越前市北町47-6,防灾安全课,35.9139874,136.2099638,北新庄地区,0778-22-1040,category3,全部灾害
味真野小学校,越前市池泉町9-1,防灾安全课,35.8905074,136.2328142,味真野地区,0778-27-1323,category1,防灾
味真野小学校,越前市池泉町9-1,防灾安全课,35.8905074,136.2328142,味真野地区,0778-27-1323,category2,广域避难所
味真野小学校,越前市池泉町9-1,防灾安全课,35.8905074,136.2328142,味真野地区,0778-27-1323,category3,全部灾害
白山小学校,越前市都辺町24-2,防灾安全课,35.8880581,136.0528846,白山地区,0778-28-1002,category1,防灾
白山小学校,越前市都辺町24-2,防灾安全课,35.8880581,136.0528846,白山地区,0778-28-1002,category2,广域避难所
白山小学校,越前市都辺町24-2,防灾安全课,35.8880581,136.0528846,白山地区,0778-28-1002,category3,全部灾害
武生第五中学校,越前市都辺町36-73,防灾安全课,35.8885303,136.0568425,白山地区,0778-28-1004,category1,防灾
武生第五中学校,越前市都辺町36-73,防灾安全课,35.8885303,136.0568425,白山地区,0778-28-1004,category2,广域避难所
武生第五中学校,越前市都辺町36-73,防灾安全课,35.8885303,136.0568425,白山地区,0778-28-1004,category3,全部灾害
花筐小学校,越前市粟田部町41-12,防灾安全课,35.9141213,136.2403936,粟田部地区,0778-42-0045,category1,防灾
花筐小学校,越前市粟田部町41-12,防灾安全课,35.9141213,136.2403936,粟田部地区,0778-42-0045,category2,广域避难所
花筐小学校,越前市粟田部町41-12,防灾安全课,35.9141213,136.2403936,粟田部地区,0778-42-0045,category3,地震
いまだて芸術館,越前市粟田部町11-1-1,防灾安全课,35.9187262,136.2472218,粟田部地区,0778-42-2700,category1,防灾
いまだて芸術館,越前市粟田部町11-1-1,防灾安全课,35.9187262,136.2472218,粟田部地区,0778-42-2700,category2,广域避难所
いまだて芸術館,越前市粟田部町11-1-1,防灾安全课,35.9187262,136.2472218,粟田部地区,0778-42-2700,category3,全部灾害
今立体育センター,越前市岩本町1-9,防灾安全课,35.9098967,136.2406742,粟田部地区,0778-43-1587,category1,防灾
今立体育センター,越前市岩本町1-9,防灾安全课,35.9098967,136.2406742,粟田部地区,0778-43-1587,category2,广域避难所
今立体育センター,越前市岩本町1-9,防灾安全课,35.9098967,136.2406742,粟田部地区,0778-43-1587,category3,全部灾害
岡本小学校,越前市定友町10-15,防灾安全课,35.9151435,136.2451764,岡本地区,0778-42-0101,category1,防灾
岡本小学校,越前市定友町10-15,防灾安全课,35.9151435,136.2451764,岡本地区,0778-42-0101,category2,广域避难所
岡本小学校,越前市定友町10-15,防灾安全课,35.9151435,136.2451764,岡本地区,0778-42-0101,category3,全部灾害
南越中学校,越前市野岡町28-4,防灾安全课,35.9261258,136.2497424,南中山地区,0778-42-1870,category1,防灾
南越中学校,越前市野岡町28-4,防灾安全课,35.9261258,136.2497424,南中山地区,0778-42-1870,category2,广域避难所
南越中学校,越前市野岡町28-4,防灾安全课,35.9261258,136.2497424,南中山地区,0778-42-1870,category3,全部灾害
